DOC_ID,LABEL,REVIEW_TEXT
1,__label1__,"When least you think so, this product will save the day. Just keep it around just in case you need it for something."
2,__label1__,Lithium batteries are something new introduced in the market there average developing cost is relatively high but Stallion doesn't compromise on quality and provides us with the best at a low cost.<br />There are so many in built technical assistants that act like a sensor in their particular forté. The battery keeps my phone charged up and it works at every voltage and a high voltage is never risked.
3,__label1__,"I purchased this swing for my baby. She is 6 months now and has pretty much out grown it. It is very loud and doesn't swing very well. It is beautiful though. I love the colors and it has a lot of settings, but I don't think it was worth the money."
4,__label1__,I was looking for an inexpensive desk calcolatur and here it is. It works and does everything I need. Only issue is that it tilts slightly to one side so when I hit any keys it rocks a little bit. Not a big deal.
5,__label1__,"I only use it twice a week and the results are great. I have used other teeth whitening solutions and most of them, for the same results I would have to use it at least three times a week. Will keep using this because of the potency of the solution and also the technique of the trays, it keeps everything in my teeth, in my mouth."
6,__label1__,I'm not sure what this is supposed to be but I would recommend that you do a little more research into the culture of using pipes if you plan on giving this as a gift or using it yourself.
7,__label1__,"Pleased with ping pong table. 11 year old and 13 year old having a blast, plus lots of family entertainment too. Plus better than kids sitting on video games all day. A friend put it together. I do believe that was a challenge, but nothing they could not handle"
8,__label1__,"Great vitamin C serum... I really like the oil feeling, not too sticky. I used it last week on some of my recent bug bites and it helps heal the skin faster than normal."
9,__label1__,"I've used tide pods laundry detergent for many years,its such a great detergent to use having a nice scent and leaver the cloths smelling fresh."
10,__label1__,"Everybody wants to fall for their promises. But this is a relatively unheard of brand, some even say a non existant company. Look at how amateur their labels and products are. You have to ask yourself if you would trust this kind of amateur stuff? No way! Don't waste your money."
11,__label1__,Unfortunately they didn't work for me. They made me sick and throw up once of the two times I tried them
12,__label1__,"This kettle is a gift for my daughter. She said that it is easy to use. She likes the design of it, so nice and neat."
13,__label1__,"I love this tumbler! Keeps drinks warm or cold for a good period of time, and its very sturdy. I get complements on how sleek it looks all the time, especially because it doesnt leave fingerprints. Highly recommend. Only suggestion when washing the lid, be sure to shake it and dry well to prevent dripping when the lid is on the tumbler."
